course_name,course_id,review_id,content,rating,created,user_name
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,209479637,good,3.5,2025-06-29T01:37:47-07:00,Kanhaiya Kumar Jha
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,209465441,Amazing course,4.5,2025-06-28T19:40:15-07:00,Ashutosh Sharma
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,209358811,"The sound sometimes automatically gets shifted to right side speakers , and gets stuck in a loop of saying the some word again and again ,  i don't know whether it is the course or platform problem , it is very annoying and keeps happening whether you use the headphones or not . this problem started from the linked list section.",4.5,2025-06-27T06:32:14-07:00,Anshul Apurva
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,209355295,Very nice course,5.0,2025-06-27T05:55:49-07:00,Yash Salgar
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,209260979,Amazing course covering python with DSA,4.5,2025-06-26T07:39:58-07:00,Ranjith Boya
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,209204535,Good content!,4.0,2025-06-25T22:38:06-07:00,Kapil Kumar
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,209132385,nice,5.0,2025-06-25T06:06:28-07:00,Sri Harini
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208982845,Amazing course,5.0,2025-06-24T00:45:03-07:00,Harshvardhan Pawar
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208778677,good,5.0,2025-06-21T14:16:27-07:00,Akash Sharma
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208601541,its kind of hard,3.0,2025-06-19T08:48:36-07:00,Sathiya Shunmugasundaram
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208514595,Excellent!,5.0,2025-06-18T12:35:43-07:00,Bhavesh Mali
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208482667,great,5.0,2025-06-18T06:34:57-07:00,Mayank soni
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208376641,"Very nicely, and a simple way to explain. Easy to understand",5.0,2025-06-17T07:13:34-07:00,Vinita Singh
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208340161,this course are so big you can start a with function because  1 to 4 section is all about basic of python that't why,5.0,2025-06-17T01:05:06-07:00,Patel SanketKumar
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208285179,"It's very detailed and is easily understandable, and super beginner friendly that it can be understood by anyone with no prior knowledge about python as well.",5.0,2025-06-16T10:25:00-07:00,Zoya
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208134343,was too good and understandable lectures,4.0,2025-06-14T07:52:42-07:00,Anushree S
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,208078683,Apt and the tutors are very knowledgeable,5.0,2025-06-13T09:33:53-07:00,Adithya
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,207703155,EXCELLENT,5.0,2025-06-09T21:08:42-07:00,OMPRAKASH M
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,207443951,"Shooting jargon without explaining what that thing means. As this course is for absolute beginner, kindly focus on that",3.0,2025-06-06T03:51:50-07:00,Tanmay Gautam
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,207432175,Excellent,5.0,2025-06-06T01:08:37-07:00,Saurabh Ghadge
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,207386441,Great Explanation done by Sir,4.0,2025-06-05T10:44:00-07:00,Yash Choudhary
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,207144499,where good experience,4.5,2025-06-03T02:16:42-07:00,Anonymized User
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,206980993,"Recursion should have been taught in a better way , not understandable at all, rest all the topics seems to be fine",3.5,2025-06-01T04:05:06-07:00,Prince Parmar Singh
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,206972999,nice content,5.0,2025-06-01T00:39:42-07:00,Nikesh Nirala
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,206971741,"I don’t have a high-end laptop, but the instructor suggested using Google Colab and GitHub Codespaces, which worked perfectly. Made learning smooth without needing a powerful machine!",5.0,2025-06-01T00:07:53-07:00,SHARRUK CSE
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,206846283,very nice and well explained very good pacing,5.0,2025-05-30T02:20:51-07:00,UK piano
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,206750191,nice and helpful,4.5,2025-05-29T03:34:29-07:00,Nimisha Majgawali
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,206745187,Fantastic !!!,5.0,2025-05-29T02:40:59-07:00,RAJU SHAHI
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,206635149,Course content is good. But nowadays Udemy portal showing some bug that interrupts consuming content i.e. frequently pausing video and it never resume until I close it and replay. Dashboard is stuck with 2 weeks old progress report.,4.0,2025-05-28T02:11:57-07:00,Debabrata Deyasi
